metric,observed,null_mean,null_sd,empirical_p_ge,empirical_p_le,iterations,seed,observed_gene_count,observed_nonzero_genes
positive_fraction,0.6774193548387096,0.5044869869299221,0.08798692090014067,0.030096990300969902,0.972002799720028,10000,47,32,31
negative_fraction,0.3225806451612903,0.4955130130700779,0.08798692090014067,0.972002799720028,0.030096990300969902,10000,47,32,31
mean_log2_delta,0.048437499999999974,0.005323854166666673,0.019012236908245248,0.012198780121987801,0.9879012098790121,10000,47,32,31
