target_gene,matched_gene,match_rank,match_distance,target_mean_expression,matched_mean_expression,target_sd_expression,matched_sd_expression,target_probe_count,matched_probe_count,matched_mean_log2_delta,matched_direction
AARS1,ARID3A,1,0.041018791724749835,9.182500000000001,9.215,0.2490390622883376,0.24685291903553339,1,1,-0.13333333333333316,decrease
AARS1,STAU1,2,0.0814032251207589,9.182500000000001,9.146666666666667,0.2490390622883376,0.2549272029185565,1,1,0.0,unchanged
AARS1,EPHB2,3,0.11049861513707326,9.182500000000001,9.3325,0.2490390622883376,0.26136442687627504,1,1,0.15833333333333321,increase
AARS1,BUB3,4,0.1357893426647228,9.182500000000001,9.130833333333333,0.2490390622883376,0.25393121235102356,1,1,0.06833333333333365,increase
AARS1,MIR639,5,0.153994600044918,9.182500000000001,8.986666666666666,0.2490390622883376,0.2383402202861712,1,1,-0.10333333333333379,decrease
AARS1,SMIM15,6,0.172949805176037,9.182500000000001,9.035,0.2490390622883376,0.2543262042767481,1,1,0.040000000000000036,increase
AARS1,ACSL4,7,0.1743505024394054,9.182500000000001,9.518333333333333,0.2490390622883376,0.23866421193929793,1,1,0.016666666666666902,increase
AARS1,KLF10,8,0.17671043387222596,9.182500000000001,9.083333333333334,0.2490390622883376,0.2503573204018365,1,1,-0.0066666666666659324,decrease
AARS1,ITGA6,9,0.1773431881180521,9.182500000000001,9.147499999999999,0.2490390622883376,0.22328640393409133,1,1,-0.09500000000000035,decrease
AARS1,GANAB,10,0.1894332815702632,9.182500000000001,8.87,0.2490390622883376,0.23668160430878843,1,1,-0.09333333333333342,decrease
AARS1,MACO1,11,0.19108796501133923,9.182500000000001,9.091666666666667,0.2490390622883376,0.26859341809214965,1,1,0.07333333333333354,increase
AARS1,LRRC59,12,0.20133242175410038,9.182500000000001,9.520833333333334,0.2490390622883376,0.2535729528641459,1,1,-0.015000000000000272,decrease
AARS1,PSG2,13,0.20808344518925065,9.182500000000001,9.215,0.2490390622883376,0.2659289036907832,1,1,0.16000000000000014,increase
AARS1,PRDX2,14,0.2093325638986556,9.182500000000001,8.910833333333333,0.2490390622883376,0.2678689752076334,1,1,-0.0016666666666669272,decrease
AARS1,PEBP1,15,0.2105726805125447,9.182500000000001,9.1225,0.2490390622883376,0.2784739256604237,1,1,-0.01833333333333324,decrease
AARS1,DDA1,16,0.21651764590731992,9.182500000000001,9.4925,0.2490390622883376,0.24316567491022542,1,1,0.01833333333333324,increase
AARS1,TRIM33,17,0.21950522626863284,9.182500000000001,9.375833333333333,0.2490390622883376,0.2457440772738002,1,1,0.07166666666666661,increase
AARS1,IGF2R,18,0.2236130942867976,9.182500000000001,8.75,0.2490390622883376,0.2384419121181205,1,1,0.049999999999999524,increase
AARS1,EAF1,19,0.22653861609166784,9.182500000000001,8.7775,0.2490390622883376,0.23140381862174894,1,1,-0.0016666666666666312,decrease
AARS1,PLAAT3,20,0.23473483957903457,9.182500000000001,9.524166666666666,0.2490390622883376,0.22888895018141772,1,1,0.18499999999999991,increase
AARS1,ADK,21,0.23490364133590136,9.182500000000001,8.715833333333332,0.2490390622883376,0.23910660738877512,1,1,-0.01833333333333383,decrease
AARS1,SLC1A5,22,0.24038348242784924,9.182500000000001,9.578333333333333,0.2490390622883376,0.26048323391634076,1,1,0.09000000000000015,increase
AARS1,RBMS2,23,0.2457312309983999,9.182500000000001,9.4975,0.2490390622883376,0.26710995352612227,1,1,-0.125,decrease
AARS1,ARFGEF1,24,0.24791301761076623,9.182500000000001,8.715833333333332,0.2490390622883376,0.24861281811952732,1,1,-0.07166666666666632,decrease
AARS1,RCOR1,25,0.25055411450856885,9.182500000000001,9.281666666666666,0.2490390622883376,0.24653354311084721,1,1,-0.09333333333333371,decrease
AARS1,SARS1,26,0.25211517153316254,9.182500000000001,9.186666666666667,0.2490390622883376,0.2127881290833394,1,1,0.11666666666666654,increase
AARS1,NPC1,27,0.2534978034539862,9.182500000000001,9.545833333333333,0.2490390622883376,0.2442226381187808,1,1,0.10833333333333339,increase
AARS1,IPMK,28,0.253999851499196,9.182500000000001,9.645,0.2490390622883376,0.23827028197559055,1,1,-0.17666666666666675,decrease
AARS1,AGA,29,0.2546674457254962,9.182500000000001,8.921666666666667,0.2490390622883376,0.2325680089519597,1,1,0.07666666666666681,increase
AARS1,CTTNBP2NL,30,0.25530086775190214,9.182500000000001,8.705833333333334,0.2490390622883376,0.2442226381187808,1,1,-0.04499999999999993,decrease
AARS1,SLC2A1,31,0.25574618005720423,9.182500000000001,9.099166666666667,0.2490390622883376,0.23853562087085098,1,1,0.05166666666666645,increase
AARS1,CCAR1,32,0.25673550354903646,9.182500000000001,8.891666666666666,0.2490390622883376,0.261284704813919,1,1,-0.043333333333333,decrease
AARS1,DHRS7,33,0.2603575670177998,9.182500000000001,8.741666666666667,0.2490390622883376,0.2265485431960277,1,1,0.05999999999999991,increase
AARS1,GOLM2,34,0.2608964171505915,9.182500000000001,8.815833333333334,0.2490390622883376,0.23251425502080286,1,1,-0.0816666666666664,decrease
AARS1,RELL1,35,0.26652478401943125,9.182500000000001,8.830833333333333,0.2490390622883376,0.23523521432941538,1,1,-0.16499999999999973,decrease
AARS1,TOMM22,36,0.26662987349682815,9.182500000000001,9.266666666666667,0.2490390622883376,0.24050452021204147,1,1,-0.006666666666666525,decrease
AARS1,HEXA,37,0.2697291614811789,9.182500000000001,9.705833333333333,0.2490390622883376,0.23853562087085106,1,1,0.061666666666666835,increase
AARS1,MRPS18A,38,0.27455470206432353,9.182500000000001,9.15,0.2490390622883376,0.20898020784927776,1,1,0.026666666666666394,increase
AARS1,AP3B1,39,0.2756618079964634,9.182500000000001,8.6125,0.2490390622883376,0.2527710066803191,1,1,-0.06833333333333276,decrease
AARS1,MAN2A1,40,0.27572480908344377,9.182500000000001,9.045,0.2490390622883376,0.21223914470581162,1,1,-0.0866666666666666,decrease
AARS1,GDPD3,41,0.2767719650910342,9.182500000000001,9.768333333333334,0.2490390622883376,0.2477474275926753,1,1,-0.016666666666666902,decrease
AARS1,PLOD1,42,0.27703495299212455,9.182500000000001,9.316666666666666,0.2490390622883376,0.2096461665557356,1,1,0.016666666666666607,increase
AARS1,PPP3CA,43,0.2781672928464747,9.182500000000001,9.155833333333334,0.2490390622883376,0.2802420490586772,1,1,-0.0916666666666665,decrease
AARS1,MPP1,44,0.28012156952706313,9.182500000000001,8.605,0.2490390622883376,0.256178205020007,1,1,0.08000000000000067,increase
AARS1,JUP,45,0.2806346662952213,9.182500000000001,8.6175,0.2490390622883376,0.2424917992990128,1,1,-0.22166666666666637,decrease
AARS1,TPGS2,46,0.28760406805079414,9.182500000000001,9.020833333333334,0.2490390622883376,0.2728455551584026,1,1,0.0216666666666665,increase
AARS1,POGLUT3,47,0.2940754669700605,9.182500000000001,9.043333333333333,0.2490390622883376,0.21141657857644405,1,1,-0.0033333333333332624,decrease
AARS1,INSIG1,48,0.2972974068388038,9.182500000000001,9.094166666666666,0.2490390622883376,0.2762560845346657,1,1,-0.3050000000000003,decrease
AARS1,MEX3C,49,0.2988782442305217,9.182500000000001,8.9825,0.2490390622883376,0.2827824412705092,1,1,0.01833333333333324,increase
AARS1,SPTLC2,50,0.30071534451406795,9.182500000000001,8.816666666666666,0.2490390622883376,0.24186146798729588,1,1,0.010000000000000378,increase
AARS1,C1QBP,51,0.30375001123339673,9.182500000000001,9.33,0.2490390622883376,0.29114195225634576,1,1,-0.016666666666666313,decrease
AARS1,OSMR,52,0.3092101658740303,9.182500000000001,9.034166666666668,0.2490390622883376,0.2573451284783048,1,1,-0.03833333333333341,decrease
AARS1,GPC4,53,0.31393215344997355,9.182500000000001,9.714166666666667,0.2490390622883376,0.26259053272878663,1,1,0.14499999999999988,increase
AARS1,AMMECR1L,54,0.3155753551191699,9.182500000000001,9.104166666666666,0.2490390622883376,0.2044263963267746,1,1,0.015000000000000272,increase
AARS1,G3BP1,55,0.3162611785689917,9.182500000000001,9.125833333333333,0.2490390622883376,0.20852112748127127,1,1,-0.07833333333333374,decrease
AARS1,HIBADH,56,0.31636359091860045,9.182500000000001,8.668333333333333,0.2490390622883376,0.2703813244402439,1,1,-0.020000000000000167,decrease
AARS1,TAOK1,57,0.3181416242243536,9.182500000000001,8.553333333333333,0.2490390622883376,0.24099541049320422,1,1,-0.003333333333333558,decrease
AARS1,MED4-AS1,58,0.3184623861149889,9.182500000000001,8.98,0.2490390622883376,0.2050720494229902,1,1,-0.019999999999999574,decrease
AARS1,ARL2BP,59,0.3185020395929473,9.182500000000001,9.496666666666666,0.2490390622883376,0.20977621553946618,1,1,0.01333333333333305,increase
AARS1,STX7,60,0.318996010566954,9.182500000000001,9.49,0.2490390622883376,0.23556508461762551,1,1,0.010000000000000083,increase
AARS1,ADAM19,61,0.3198279893210692,9.182500000000001,8.973333333333333,0.2490390622883376,0.27671229999712155,1,1,-0.11333333333333329,decrease
AARS1,MRPL33,62,0.32013271912548574,9.182500000000001,9.164166666666667,0.2490390622883376,0.20553514777209517,1,1,0.034999999999999844,increase
AARS1,ACLY,63,0.3253038631653788,9.182500000000001,8.939166666666667,0.2490390622883376,0.24254178021840905,1,1,-0.061666666666666835,decrease
AARS1,CCNT1,64,0.3264994217447474,9.182500000000001,8.625,0.2490390622883376,0.22785561616554856,1,1,0.016666666666666607,increase
AARS1,DSC2,65,0.32803612205557114,9.182500000000001,9.776666666666667,0.2490390622883376,0.2667764925357873,1,1,-0.020000000000000167,decrease
AARS1,ANKRD17,66,0.3318456554591105,9.182500000000001,8.878333333333334,0.2490390622883376,0.21758314328647838,1,1,-0.026666666666666394,decrease
AARS1,UHMK1,67,0.33974863183262843,9.182500000000001,9.155833333333334,0.2490390622883376,0.21300697100557453,1,1,-0.06166666666666624,decrease
AARS1,ATP10D,68,0.3403128069321616,9.182500000000001,8.98,0.2490390622883376,0.20171987777834163,1,1,0.003333333333333558,increase
AARS1,SNRPD1,69,0.3421377880794587,9.182500000000001,9.86,0.2490390622883376,0.24297399786060145,1,1,-0.0033333333333338544,decrease
AARS1,CLN5,70,0.3478100558255907,9.182500000000001,9.3275,0.2490390622883376,0.2988196476441635,1,1,-0.0016666666666666312,decrease
AARS1,SLC50A1,71,0.34867450308888964,9.182500000000001,9.583333333333334,0.2490390622883376,0.26043087840009005,1,1,0.09000000000000015,increase
AARS1,DNAJC10,72,0.3489830102444696,9.182500000000001,9.520833333333334,0.2490390622883376,0.24103784438183626,1,1,0.055000000000000014,increase
AARS1,AP2S1,73,0.3491405883333186,9.182500000000001,9.848333333333333,0.2490390622883376,0.2407500904685314,1,1,0.06666666666666614,increase
AARS1,PTPN1,74,0.34984996319310935,9.182500000000001,8.651666666666667,0.2490390622883376,0.2842800582438936,1,1,0.0,unchanged
AARS1,NFAT5,75,0.3531374185376623,9.182500000000001,9.1575,0.2490390622883376,0.23363238411892037,1,1,0.021666666666666796,increase
AARS1,MIR4657,76,0.35380729974388997,9.182500000000001,8.626666666666667,0.2490390622883376,0.22804837339051687,1,1,-0.03000000000000025,decrease
AARS1,SLC41A2,77,0.3539375079691187,9.182500000000001,8.57,0.2490390622883376,0.2391652148620278,1,1,0.033333333333333215,increase
AARS1,CBL,78,0.3550150222317146,9.182500000000001,9.060833333333333,0.2490390622883376,0.2048262382576702,1,1,0.03500000000000014,increase
AARS1,VPS25,79,0.3552158536508452,9.182500000000001,9.451666666666666,0.2490390622883376,0.2032836501645973,1,1,-0.04666666666666656,decrease
AARS1,GALNT1,80,0.35706680224179077,9.182500000000001,9.825833333333334,0.2490390622883376,0.2725121626421082,1,1,-0.04166666666666696,decrease
AARS1,PTGR1,81,0.35718205723085866,9.182500000000001,9.470833333333333,0.2490390622883376,0.29407662369875726,1,1,-0.004999999999999893,decrease
AARS1,BAIAP2L1,82,0.35798264579214173,9.182500000000001,9.5475,0.2490390622883376,0.27919120199735414,1,1,0.03500000000000014,increase
AARS1,CD47,83,0.35821224705750326,9.182500000000001,9.345,0.2490390622883376,0.2728802601208751,1,1,0.01333333333333305,increase
AARS1,STYX,84,0.36429156945425123,9.182500000000001,9.1075,0.2490390622883376,0.2016353594531927,1,1,-0.024999999999999467,decrease
AARS1,RIT1,85,0.3652928829600886,9.182500000000001,9.263333333333334,0.2490390622883376,0.21856279868654896,1,1,0.046666666666667155,increase
AARS1,BPGM,86,0.3658301448735257,9.182500000000001,8.770833333333334,0.2490390622883376,0.21681405243510715,1,1,0.031666666666666586,increase
AARS1,NSD3,87,0.3665536656758078,9.182500000000001,8.926666666666666,0.2490390622883376,0.24027761721253457,1,1,-0.05666666666666723,decrease
AARS1,TTC17,88,0.36722678333062314,9.182500000000001,8.481666666666667,0.2490390622883376,0.27235783058099866,1,1,0.019999999999999574,increase
