gene	table_s1_protein	raw_protein_group	table_s1_log2fc_5uM_39h	raw_log2_delta	table_s1_direction	raw_direction	direction_agreement	raw_bde_detected	raw_vehicle_detected	raw_rank_by_delta_desc	table_s1_rank_by_delta_desc	raw_percentile_by_delta	table_s1_percentile_by_delta
ATOX1	ATOX1_HUMAN	O00244	0.384361	0.211277	increase	increase	TRUE	2	2	236	316	0.818533	0.756757
AUP1	AUP1_HUMAN	Q9Y679	0.895075	-0.051800	increase	decrease	FALSE	3	4	743	97	0.427027	0.925869
AVL9	AVL9_HUMAN	Q8NBF6	0.471870	0.352647	increase	increase	TRUE	3	4	113	250	0.913514	0.807722
BAG2	BAG2_HUMAN	O95816	1.754092	-0.277763	increase	decrease	FALSE	2	2	1086	18	0.162162	0.986873
BAG3	BAG3_HUMAN	O95817	0.278014	0.258181	increase	increase	TRUE	3	4	186	410	0.857143	0.684170
BAG5	BAG5_HUMAN	Q9UL15	1.537290	-0.121048	increase	decrease	FALSE	3	4	892	26	0.311969	0.980695
BAG6	BAG6_HUMAN	P46379	0.140070	0.135119	increase	increase	TRUE	3	4	361	543	0.722008	0.581467
BASP1	BASP1_HUMAN	P80723	-0.304899	-0.049083	decrease	decrease	TRUE	3	4	732	1026	0.435521	0.208494
BAX	BAX_HUMAN	Q07812	0.359964	-0.039002	increase	decrease	FALSE	3	4	711	336	0.451737	0.741313
BCAT1	BCAT1_HUMAN	P54687	-0.183702	-0.117986	decrease	decrease	TRUE	3	4	881	917	0.320463	0.292664
BCAT2	BCAT2_HUMAN	O15382	0.247008	0.012360	increase	increase	TRUE	2	2	587	435	0.547490	0.664865
BID	BID_HUMAN	P55957	-1.592064	-0.493900	decrease	decrease	TRUE	1	3	1216	1282	0.061776	0.010811
BIN2	BIN2_HUMAN	Q9UBW5	-0.276867	-0.175762	decrease	decrease	TRUE	3	4	979	1005	0.244788	0.224710
BLMH	BLMH_HUMAN	Q13867	-0.157553	-0.001818	decrease	decrease	TRUE	3	4	618	892	0.523552	0.311969
BLVRB	BLVRB_HUMAN	P30043	-0.505400	-0.162376	decrease	decrease	TRUE	3	4	959	1152	0.260232	0.111197
BOLA2	BOLA2_HUMAN	Q9H3K6	0.618377	-0.062198	increase	decrease	FALSE	3	4	769	183	0.406950	0.859459
BPNT1	BPNT1_HUMAN	O95861	-0.163185	-0.070833	decrease	decrease	TRUE	3	4	787	896	0.393050	0.308880
BRCC3	BRCC3_HUMAN	P46736	2.594776	-0.763387	increase	decrease	FALSE	2	4	1275	5	0.016216	0.996911
BRK1	BRK1_HUMAN	Q8WUW1	0.411170	0.805286	increase	increase	TRUE	2	1	30	287	0.977606	0.779151
BROX	BROX_HUMAN	Q5VW32	-2.567846	-0.155595	decrease	decrease	TRUE	3	4	945	1295	0.271042	0.000772
BSDC1	BSDC1_HUMAN	Q9NW68	-0.413085	0.321147	decrease	increase	FALSE	3	4	135	1109	0.896525	0.144402
BST2	BST2_HUMAN	Q10589	0.000957	0.242258	increase	increase	TRUE	2	3	203	698	0.844015	0.461776
BTF3	BTF3_HUMAN	P20290	1.084366	0.086266	increase	increase	TRUE	3	4	428	58	0.670270	0.955985
BUB3	BUB3_HUMAN	O43684	-0.088672	-0.019254	decrease	decrease	TRUE	3	4	653	807	0.496525	0.377606
BUD31	BUD31_HUMAN	P41223	1.585651	-0.393312	increase	decrease	FALSE	2	2	1177	22	0.091892	0.983784
BZW1	BZW1_HUMAN	Q7L1Q6;Q9Y6E2	-0.149385	-0.803312	decrease	decrease	TRUE	3	4	1278	888	0.013900	0.315058
BZW2	BZW2_HUMAN	Q9Y6E2	0.320249	-0.279073	increase	decrease	FALSE	3	4	1087	376	0.161390	0.710425
C1QBP	C1QBP_HUMAN	Q07021	-0.335745	-0.784921	decrease	decrease	TRUE	3	4	1277	1041	0.014672	0.196911
CAB39	CAB39_HUMAN	Q9Y376	0.044893	-0.710896	increase	decrease	FALSE	3	4	1266	654	0.023166	0.495753
CALD1	CALD1_HUMAN	Q05682	-0.188253	-0.090898	decrease	decrease	TRUE	3	4	829	924	0.360618	0.287259
CALR	CALR_HUMAN	P27797	-0.394236	-0.220571	decrease	decrease	TRUE	3	4	1030	1090	0.205405	0.159073
CALU	CALU_HUMAN	O43852	-0.027343	-0.470413	decrease	decrease	TRUE	3	4	1208	739	0.067954	0.430116
CAND1	CAND1_HUMAN	Q86VP6	-0.034901	-0.240208	decrease	decrease	TRUE	3	4	1047	751	0.192278	0.420849
CAP1	CAP1_HUMAN	Q01518	-0.128858	0.003318	decrease	increase	FALSE	3	4	605	855	0.533591	0.340541
CAPG	CAPG_HUMAN	P40121	-0.572054	-0.009522	decrease	decrease	TRUE	3	4	633	1180	0.511969	0.089575
CAPZB	CAPZB_HUMAN	P47756	-0.698468	-0.033852	decrease	decrease	TRUE	3	4	700	1211	0.460232	0.065637
CARM1	CARM1_HUMAN	Q86X55	0.389978	0.089721	increase	increase	TRUE	3	4	419	311	0.677220	0.760618
CASP1	CASP1_HUMAN	P29466	-0.072680	0.862451	decrease	increase	FALSE	1	3	21	790	0.984556	0.390734
CASP3	CASP3_HUMAN	P42574	-0.204192	0.190475	decrease	increase	FALSE	3	4	256	942	0.803089	0.273359
CAV1	CAV1_HUMAN	Q03135	-0.010408	-0.021217	decrease	decrease	TRUE	3	4	667	715	0.485714	0.448649
CBL	CBL_HUMAN	P22681	0.408508	0.330820	increase	increase	TRUE	3	4	127	292	0.902703	0.775290
CBLB	CBLB_HUMAN	Q13191	1.449722	0.175654	increase	increase	TRUE	3	4	280	28	0.784556	0.979151
CBR1	CBR1_HUMAN	P16152	0.074361	-0.019782	increase	decrease	FALSE	3	4	660	624	0.491120	0.518919
CBX1	CBX1_HUMAN	P83916;Q13185	-1.644081	0.433103	decrease	increase	FALSE	2	1	86	1287	0.934363	0.006950
CBX3	CBX3_HUMAN	Q13185	-0.356384	-0.265694	decrease	decrease	TRUE	3	4	1075	1054	0.170656	0.186873
CBX5	CBX5_HUMAN	P45973	0.158871	0.026763	increase	increase	TRUE	1	4	562	524	0.566795	0.596139
CCAR1	CCAR1_HUMAN	Q8IX12	-1.058726	0.147262	decrease	increase	FALSE	3	4	332	1257	0.744402	0.030116
CCAR2	CCAR2_HUMAN	Q8N163	0.344130	0.157960	increase	increase	TRUE	3	4	303	356	0.766795	0.725869
CCDC6	CCDC6_HUMAN	Q16204	-0.066695	-0.596973	decrease	decrease	TRUE	2	4	1246	784	0.038610	0.395367
CCS	CCS_HUMAN	O14618	-0.330188	0.155461	decrease	increase	FALSE	3	4	311	1037	0.760618	0.200000
CD151	CD151_HUMAN	P48509	0.080765	0.153792	increase	increase	TRUE	1	1	317	619	0.755985	0.522780
CD276	CD276_HUMAN	Q5ZPR3	0.347656	0.392974	increase	increase	TRUE	3	4	98	350	0.925097	0.730502
CD2AP	CD2AP_HUMAN	Q9Y5K6	0.933979	0.545662	increase	increase	TRUE	3	4	54	86	0.959073	0.934363
CD36	CD36_HUMAN	P16671	0.645565	0.548381	increase	increase	TRUE	1	2	53	167	0.959846	0.871815
CD44	CD44_HUMAN	P16070	-0.129003	-0.510998	decrease	decrease	TRUE	3	4	1220	856	0.058687	0.339768
CD47	CD47_HUMAN	Q08722	-0.398002	-0.299553	decrease	decrease	TRUE	3	4	1108	1093	0.145174	0.156757
CD59	CD59_HUMAN	P13987	0.070104	0.145227	increase	increase	TRUE	3	4	337	630	0.740541	0.514286
CD63	CD63_HUMAN	P08962	-0.884425	-0.900225	decrease	decrease	TRUE	3	4	1284	1244	0.009266	0.040154
CD81	CD81_HUMAN	P60033	-0.228716	-0.715563	decrease	decrease	TRUE	3	4	1269	968	0.020849	0.253282
CD9	CD9_HUMAN	P21926	0.763146	-0.120245	increase	decrease	FALSE	3	4	886	129	0.316602	0.901158
CDC23	CDC23_HUMAN	Q9UJX2	-1.138406	0.459981	decrease	increase	FALSE	3	2	73	1267	0.944402	0.022394
CDC37	CDC37_HUMAN	Q16543	-0.096199	-0.084735	decrease	decrease	TRUE	3	4	816	814	0.370656	0.372201
CDC42	CDC42_HUMAN	P60953	0.122717	-0.175755	increase	decrease	FALSE	3	4	978	569	0.245560	0.561390
CDC5L	CDC5L_HUMAN	Q99459	1.543705	0.902316	increase	increase	TRUE	3	4	16	24	0.988417	0.982239
CDIPT	CDIPT_HUMAN	O14735	0.940281	-0.097968	increase	decrease	FALSE	3	4	843	85	0.349807	0.935135
CDK2	CDK2_HUMAN	P24941	0.254136	0.048858	increase	increase	TRUE	2	4	502	430	0.613127	0.668726
CDS2	CDS2_HUMAN	O95674	-0.079903	-0.069399	decrease	decrease	TRUE	3	3	783	798	0.396139	0.384556
CDV3	CDV3_HUMAN	Q9UKY7	-0.048787	0.126886	decrease	increase	FALSE	3	4	372	760	0.713514	0.413900
CEBPB	CEBPB_HUMAN	P17676	0.309467	0.111089	increase	increase	TRUE	3	4	392	383	0.698069	0.705019
CEPT1	CEPT1_HUMAN	Q9Y6K0	0.640587	0.409408	increase	increase	TRUE	3	4	91	169	0.930502	0.870270
CHD4	CHD4_HUMAN	Q14839	-0.145322	0.211847	decrease	increase	FALSE	3	4	234	880	0.820077	0.321236
CHID1	CHID1_HUMAN	Q9BWS9	-0.753797	0.177703	decrease	increase	FALSE	3	4	277	1221	0.786873	0.057915
CHMP5	CHMP5_HUMAN	Q9NZZ3	0.112726	0.145255	increase	increase	TRUE	3	4	336	580	0.741313	0.552896
CHP1	CHP1_HUMAN	Q99653	0.525490	-0.060098	increase	decrease	FALSE	3	4	765	225	0.410039	0.827027
CIB1	CIB1_HUMAN	Q99828	0.855191	-0.120722	increase	decrease	FALSE	3	4	889	107	0.314286	0.918147
CIRBP	CIRBP_HUMAN	Q14011	0.396915	-0.055298	increase	decrease	FALSE	3	4	751	300	0.420849	0.769112
CISD1	CISD1_HUMAN	Q9NZ45	-0.140466	-0.128330	decrease	decrease	TRUE	3	4	902	873	0.304247	0.326641
CISD2	CISD2_HUMAN	Q8N5K1	-0.104451	-0.496566	decrease	decrease	TRUE	3	4	1218	823	0.060232	0.365251
CKAP4	CKAP4_HUMAN	Q07065	-0.283590	0.036605	decrease	increase	FALSE	3	4	534	1012	0.588417	0.219305
CKAP5	CKAP5_HUMAN	Q14008	-0.195720	-0.208788	decrease	decrease	TRUE	3	4	1018	936	0.214672	0.277992
CLIC1	CLIC1_HUMAN	O00299	0.285651	0.107461	increase	increase	TRUE	3	4	400	401	0.691892	0.691120
CLIC3	CLIC3_HUMAN	O95833	0.347328	-0.094190	increase	decrease	FALSE	3	4	838	351	0.353668	0.729730
CLIC4	CLIC4_HUMAN	Q9Y696	-0.367804	0.307535	decrease	increase	FALSE	3	4	144	1065	0.889575	0.178378
CLIP1	CLIP1_HUMAN	P30622	0.195505	-0.045093	increase	decrease	FALSE	3	4	722	486	0.443243	0.625483
CLIP2	CLIP2_HUMAN	Q9UDT6	0.642809	0.074743	increase	increase	TRUE	3	4	445	168	0.657143	0.871042
CLN3	CLN3_HUMAN	Q13286	1.774777	0.331780	increase	increase	TRUE	3	3	125	17	0.904247	0.987645
CLPB	CLPB_HUMAN	Q9H078	-1.717296	-0.158774	decrease	decrease	TRUE	3	4	951	1291	0.266409	0.003861
CNDP2	CNDP2_HUMAN	Q96KP4	-0.113912	-0.120362	decrease	decrease	TRUE	3	4	888	837	0.315058	0.354440
CNN2	CNN2_HUMAN	Q99439	0.030979	-0.108930	increase	decrease	FALSE	3	4	866	666	0.332046	0.486486
CNN3	CNN3_HUMAN	Q15417	0.018875	0.222565	increase	increase	TRUE	2	3	227	680	0.825483	0.475676
CNOT1	CNOT1_HUMAN	A5YKK6	0.275274	-0.067198	increase	decrease	FALSE	3	4	778	412	0.400000	0.682625
CNOT9	CNOT9_HUMAN	Q92600	0.675325	-0.643137	increase	decrease	FALSE	3	4	1258	156	0.029344	0.880309
CNPY2	CNPY2_HUMAN	Q9Y2B0	-0.189389	-0.184855	decrease	decrease	TRUE	3	4	992	926	0.234749	0.285714
CNPY3	CNPY3_HUMAN	Q9BT09	0.278369	-0.036041	increase	decrease	FALSE	3	4	703	408	0.457915	0.685714
CNPY4	CNPY4_HUMAN	Q8N129	-0.117477	-0.213709	decrease	decrease	TRUE	3	4	1024	839	0.210039	0.352896
COASY	COASY_HUMAN	Q13057	-0.772965	0.030615	decrease	increase	FALSE	3	4	546	1223	0.579151	0.056371
COG1	COG1_HUMAN	Q8WTW3	0.781097	0.114732	increase	increase	TRUE	3	4	388	126	0.701158	0.903475
COG2	COG2_HUMAN	Q14746	1.001307	-0.164612	increase	decrease	FALSE	3	4	963	73	0.257143	0.944402
COG3	COG3_HUMAN	Q96JB2	-0.023556	0.069826	decrease	increase	FALSE	3	4	451	731	0.652510	0.436293
COG4	COG4_HUMAN	Q9H9E3	0.359839	-0.275911	increase	decrease	FALSE	3	4	1084	337	0.163707	0.740541
COG5	COG5_HUMAN	Q9UP83	0.356820	0.139259	increase	increase	TRUE	3	4	351	340	0.729730	0.738224
COG6	COG6_HUMAN	Q9Y2V7	0.206974	0.326584	increase	increase	TRUE	3	4	131	480	0.899614	0.630116
COG7	COG7_HUMAN	P83436	0.172763	1.107953	increase	increase	TRUE	2	1	6	505	0.996139	0.610811
COG8	COG8_HUMAN	Q96MW5	1.279819	0.211722	increase	increase	TRUE	3	4	235	38	0.819305	0.971429
COMT	COMT_HUMAN	P21964	0.482965	0.116083	increase	increase	TRUE	3	4	385	247	0.703475	0.810039
COPA	COPA_HUMAN	P53621	-0.123929	0.015577	decrease	increase	FALSE	3	4	584	848	0.549807	0.345946
COPB2	COPB2_HUMAN	P35606	-0.554938	-0.134145	decrease	decrease	TRUE	3	4	907	1172	0.300386	0.095753
COPE	COPE_HUMAN	O14579	0.116612	-0.296757	increase	decrease	FALSE	3	4	1105	576	0.147490	0.555985
COPG1	COPG1_HUMAN	Q9UBF2;Q9Y678	-0.403615	0.210814	decrease	increase	FALSE	3	4	237	1100	0.817761	0.151351
COPG2	COPG2_HUMAN	Q9UBF2	0.603711	0.270540	increase	increase	TRUE	3	4	175	186	0.865637	0.857143
COPZ1	COPZ1_HUMAN	P61923	-0.217610	-0.082892	decrease	decrease	TRUE	3	4	814	959	0.372201	0.260232
CORO6	CORO6_HUMAN	Q6QEF8	-0.172674	0.013144	decrease	increase	FALSE	3	4	586	906	0.548263	0.301158
CORO7	CORO7_HUMAN	P57737	-0.366563	0.045828	decrease	increase	FALSE	3	4	511	1063	0.606178	0.179923
COTL1	COTL1_HUMAN	Q14019	-0.119471	-0.143211	decrease	decrease	TRUE	3	4	919	842	0.291120	0.350579
COX5A	COX5A_HUMAN	P20674	0.342703	-0.127241	increase	decrease	FALSE	3	4	898	360	0.307336	0.722780
COX5B	COX5B_HUMAN	P10606	-0.446607	-0.002117	decrease	decrease	TRUE	3	4	619	1126	0.522780	0.131274
COX6C	COX6C_HUMAN	P09669	-0.292248	0.042529	decrease	increase	FALSE	3	4	519	1016	0.600000	0.216216
COX7C	COX7C_HUMAN	P15954	-0.015968	-0.319675	decrease	decrease	TRUE	3	4	1123	724	0.133591	0.441699
CPNE1	CPNE1_HUMAN	Q99829	0.410006	0.299839	increase	increase	TRUE	3	4	153	290	0.882625	0.776834
CPNE3	CPNE3_HUMAN	O75131	0.575116	0.439676	increase	increase	TRUE	3	4	82	194	0.937452	0.850965
CPSF3	CPSF3_HUMAN	Q9UKF6	0.800221	0.423248	increase	increase	TRUE	3	4	90	118	0.931274	0.909653
CPSF6	CPSF6_HUMAN	Q16630	0.563934	0.253195	increase	increase	TRUE	3	4	191	204	0.853282	0.843243
CPSF7	CPSF7_HUMAN	Q8N684	-0.637381	-0.116980	decrease	decrease	TRUE	3	4	878	1200	0.322780	0.074131
CPT1A	CPT1A_HUMAN	P50416	-0.371540	-0.251338	decrease	decrease	TRUE	3	4	1062	1070	0.180695	0.174517
CPT2	CPT2_HUMAN	P23786	0.135315	-0.004884	increase	decrease	FALSE	3	4	628	549	0.515830	0.576834
CPVL	CPVL_HUMAN	Q9H3G5	0.390093	-0.098304	increase	decrease	FALSE	3	4	845	310	0.348263	0.761390
CRIP2	CRIP2_HUMAN	P52943	0.028686	0.836417	increase	increase	TRUE	3	4	26	669	0.980695	0.484170
CRK	CRK_HUMAN	P46108	0.233502	-0.090229	increase	decrease	FALSE	3	4	826	451	0.362934	0.652510
CRKL	CRKL_HUMAN	P46109	-0.411412	-0.020421	decrease	decrease	TRUE	3	4	665	1106	0.487259	0.146718
CRLF3	CRLF3_HUMAN	Q8IUI8	0.361974	-0.012321	increase	decrease	FALSE	3	4	639	334	0.507336	0.742857
CRTAP	CRTAP_HUMAN	O75718	0.410352	-0.014984	increase	decrease	FALSE	3	4	643	288	0.504247	0.778378
CRYAB	CRYAB_HUMAN	P02511	-1.623245	-0.407770	decrease	decrease	TRUE	3	4	1183	1286	0.087259	0.007722
CSDE1	CSDE1_HUMAN	O75534	-0.195469	-0.150502	decrease	decrease	TRUE	3	4	935	935	0.278764	0.278764
CSK	CSK_HUMAN	P41240	-0.217597	-0.003802	decrease	decrease	TRUE	3	4	622	958	0.520463	0.261004
CSRP1	CSRP1_HUMAN	P21291	-0.548319	-0.410971	decrease	decrease	TRUE	3	4	1184	1169	0.086486	0.098069
CSRP2	CSRP2_HUMAN	Q16527	0.123273	-0.381913	increase	decrease	FALSE	3	4	1170	568	0.097297	0.562162
CSTF2	CSTF2_HUMAN	P33240;Q9H0L4	-0.864205	1.086445	decrease	increase	FALSE	3	4	9	1242	0.993822	0.041699
CTBP1	CTBP1_HUMAN	P56545;Q13363	-1.047960	-0.017210	decrease	decrease	TRUE	3	4	650	1256	0.498842	0.030888
CTBP2	CTBP2_HUMAN	P56545	-0.788876	-0.147995	decrease	decrease	TRUE	3	4	931	1227	0.281853	0.053282
CUL1	CUL1_HUMAN	Q13616	1.199454	-0.350249	increase	decrease	FALSE	3	4	1149	45	0.113514	0.966023
CUL2	CUL2_HUMAN	Q13617	0.426452	0.106166	increase	increase	TRUE	3	4	402	281	0.690347	0.783784
CUL3	CUL3_HUMAN	Q13618	0.324682	-0.243418	increase	decrease	FALSE	3	4	1049	373	0.190734	0.712741
CUL4A	CUL4A_HUMAN	Q13619;Q13620	0.743301	-0.628102	increase	decrease	FALSE	3	4	1255	140	0.031660	0.892664
CUL4B	CUL4B_HUMAN	Q13620	-0.035608	-0.173783	decrease	decrease	TRUE	3	4	975	752	0.247876	0.420077
CUL5	CUL5_HUMAN	Q93034	0.234070	0.455817	increase	increase	TRUE	3	4	75	450	0.942857	0.653282
CUTA	CUTA_HUMAN	O60888	0.462550	0.056784	increase	increase	TRUE	3	4	488	260	0.623938	0.800000
CYB5B	CYB5B_HUMAN	O43169	-0.520804	-0.711258	decrease	decrease	TRUE	3	4	1267	1157	0.022394	0.107336
CYGB	CYGB_HUMAN	Q8WWM9	1.023506	-0.232910	increase	decrease	FALSE	3	3	1040	70	0.197683	0.946718
DAB2	DAB2_HUMAN	P98082	0.283074	-0.810421	increase	decrease	FALSE	2	4	1279	405	0.013127	0.688031
DAD1	DAD1_HUMAN	P61803	-0.466579	-0.236559	decrease	decrease	TRUE	3	4	1043	1136	0.195367	0.123552
DAPP1	DAPP1_HUMAN	Q9UN19	-0.236610	-0.285373	decrease	decrease	TRUE	3	4	1096	973	0.154440	0.249421
DBNL	DBNL_HUMAN	Q9UJU6	0.169585	0.141281	increase	increase	TRUE	3	4	347	509	0.732819	0.607722
DCP1A	DCP1A_HUMAN	Q9NPI6	2.342659	-0.331013	increase	decrease	FALSE	2	3	1133	7	0.125869	0.995367
DCPS	DCPS_HUMAN	Q96C86	-0.682160	0.343333	decrease	increase	FALSE	3	2	116	1210	0.911197	0.066409
DCTD	DCTD_HUMAN	P32321	1.146997	0.296760	increase	increase	TRUE	3	4	156	50	0.880309	0.962162
DCTN1	DCTN1_HUMAN	Q14203	0.213602	-0.030560	increase	decrease	FALSE	3	4	688	466	0.469498	0.640927
DCTN2	DCTN2_HUMAN	Q13561	-0.072825	-0.209482	decrease	decrease	TRUE	3	4	1019	791	0.213900	0.389961
DCTN3	DCTN3_HUMAN	O75935	-0.164874	-0.091781	decrease	decrease	TRUE	3	4	831	900	0.359073	0.305792
DCTN4	DCTN4_HUMAN	Q9UJW0	-0.017400	-0.039784	decrease	decrease	TRUE	3	4	714	726	0.449421	0.440154
DCTN5	DCTN5_HUMAN	Q9BTE1	0.131867	0.441039	increase	increase	TRUE	3	3	81	557	0.938224	0.570656
DCXR	DCXR_HUMAN	Q7Z4W1	-0.167968	0.048032	decrease	increase	FALSE	3	4	504	903	0.611583	0.303475
DDAH2	DDAH2_HUMAN	O95865	0.216596	-0.107279	increase	decrease	FALSE	3	4	861	462	0.335907	0.644015
DDB1	DDB1_HUMAN	Q16531	0.365680	-0.119982	increase	decrease	FALSE	3	4	884	330	0.318147	0.745946
DDI2	DDI2_HUMAN	Q5TDH0	0.302371	0.062089	increase	increase	TRUE	3	4	478	388	0.631660	0.701158
DDX1	DDX1_HUMAN	Q92499	-0.178077	-0.032916	decrease	decrease	TRUE	3	4	694	913	0.464865	0.295753
DDX17	DDX17_HUMAN	Q92841	-0.163794	0.084999	decrease	increase	FALSE	3	4	430	898	0.668726	0.307336
DDX21	DDX21_HUMAN	Q9NR30	-0.457788	-0.050892	decrease	decrease	TRUE	3	4	736	1132	0.432432	0.126641
DDX23	DDX23_HUMAN	Q9BUQ8	0.764361	0.010649	increase	increase	TRUE	3	4	589	128	0.545946	0.901931
DDX3X	DDX3X_HUMAN	O00571	0.132310	0.069961	increase	increase	TRUE	3	4	450	556	0.653282	0.571429
DDX42	DDX42_HUMAN	Q86XP3	0.288179	0.003051	increase	increase	TRUE	3	4	606	399	0.532819	0.692664
DDX46	DDX46_HUMAN	Q7L014	1.304838	0.135666	increase	increase	TRUE	3	4	360	34	0.722780	0.974517
DDX5	DDX5_HUMAN	P17844	0.053479	0.034864	increase	increase	TRUE	3	4	537	643	0.586100	0.504247
DDX6	DDX6_HUMAN	P26196	0.158703	0.039994	increase	increase	TRUE	3	4	523	525	0.596911	0.595367
DDX60	DDX60_HUMAN	Q8IY21	-0.308317	-0.089522	decrease	decrease	TRUE	3	4	824	1028	0.364479	0.206950
DEK	DEK_HUMAN	P35659	-0.103121	0.040651	decrease	increase	FALSE	3	4	522	821	0.597683	0.366795
DENR	DENR_HUMAN	O43583	0.314873	-0.703619	increase	decrease	FALSE	3	4	1265	379	0.023938	0.708108
DERL1	DERL1_HUMAN	Q9BUN8	0.759873	0.406989	increase	increase	TRUE	3	4	93	130	0.928958	0.900386
DFFA	DFFA_HUMAN	O00273	0.257993	-0.182664	increase	decrease	FALSE	3	4	990	426	0.236293	0.671815
DGKA	DGKA_HUMAN	P23743	0.223789	-0.004548	increase	decrease	FALSE	3	4	625	460	0.518147	0.645560
DGKZ	DGKZ_HUMAN	Q13574	2.846714	0.020348	increase	increase	TRUE	3	4	574	3	0.557529	0.998456
DHRS1	DHRS1_HUMAN	Q96LJ7	-0.111357	0.836111	decrease	increase	FALSE	1	3	27	831	0.979923	0.359073
DHRS3	DHRS3_HUMAN	O75911	1.284556	-0.303933	increase	decrease	FALSE	2	3	1113	36	0.141313	0.972973
DHRS7	DHRS7_HUMAN	Q9Y394	-0.117696	0.043452	decrease	increase	FALSE	3	4	516	840	0.602317	0.352124
DHX15	DHX15_HUMAN	O43143	0.029998	-0.053753	increase	decrease	FALSE	3	4	747	668	0.423938	0.484942
DHX29	DHX29_HUMAN	Q7Z478	1.047111	0.204323	increase	increase	TRUE	3	4	244	65	0.812355	0.950579
DHX9	DHX9_HUMAN	Q08211	0.346713	0.181709	increase	increase	TRUE	3	4	272	352	0.790734	0.728958
DIP2B	DIP2B_HUMAN	Q9P265	0.270304	0.162681	increase	increase	TRUE	3	4	298	416	0.770656	0.679537
DKC1	DKC1_HUMAN	O60832	0.338712	0.004868	increase	increase	TRUE	3	4	601	363	0.536680	0.720463
DLG1	DLG1_HUMAN	Q12959	0.379145	0.152935	increase	increase	TRUE	3	4	323	320	0.751351	0.753668
DNM1L	DNM1L_HUMAN	O00429	-0.318071	-0.039435	decrease	decrease	TRUE	3	4	712	1033	0.450965	0.203089
DNPEP	DNPEP_HUMAN	Q9ULA0	-0.328385	0.358216	decrease	increase	FALSE	3	4	111	1036	0.915058	0.200772
DNPH1	DNPH1_HUMAN	O43598	-0.108034	-0.363454	decrease	decrease	TRUE	1	2	1161	825	0.104247	0.363707
DOCK5	DOCK5_HUMAN	Q9H7D0	-0.099516	0.047056	decrease	increase	FALSE	3	4	508	817	0.608494	0.369884
DOCK7	DOCK7_HUMAN	Q96N67	-0.473090	-0.000694	decrease	decrease	TRUE	3	4	615	1139	0.525869	0.121236
DPM1	DPM1_HUMAN	O60762	0.265502	0.175553	increase	increase	TRUE	3	4	281	420	0.783784	0.676448
DPM3	DPM3_HUMAN	Q9P2X0	-0.172692	-0.013106	decrease	decrease	TRUE	3	4	641	907	0.505792	0.300386
DPP3	DPP3_HUMAN	Q9NY33	-0.081730	-0.138475	decrease	decrease	TRUE	3	4	912	800	0.296525	0.383012
DPP4	DPP4_HUMAN	P27487	0.232656	0.423790	increase	increase	TRUE	3	4	89	452	0.932046	0.651737
DPP9	DPP9_HUMAN	Q86TI2	1.081809	0.435766	increase	increase	TRUE	3	4	85	59	0.935135	0.955212
DPY30	DPY30_HUMAN	Q9C005	0.435893	0.281224	increase	increase	TRUE	3	4	162	273	0.875676	0.789961
DRG1	DRG1_HUMAN	Q9Y295	0.194540	0.061645	increase	increase	TRUE	3	4	480	488	0.630116	0.623938
DRG2	DRG2_HUMAN	P55039	0.345723	0.082067	increase	increase	TRUE	3	4	435	354	0.664865	0.727413
DSG2	DSG2_HUMAN	Q14126	0.349845	0.067650	increase	increase	TRUE	3	4	455	347	0.649421	0.732819
DTX3L	DTX3L_HUMAN	Q8TDB6	-0.043195	0.277624	decrease	increase	FALSE	2	4	167	758	0.871815	0.415444
DUT	DUT_HUMAN	P33316	0.241091	0.233373	increase	increase	TRUE	3	4	216	442	0.833977	0.659459
DYSF	DYSF_HUMAN	O75923;Q9NZM1	0.907158	0.093328	increase	increase	TRUE	3	4	414	93	0.681081	0.928958
EBP	EBP_HUMAN	Q15125	0.570870	-0.035018	increase	decrease	FALSE	2	3	702	198	0.458687	0.847876
ECE1	ECE1_HUMAN	P42892	-0.564573	-0.879128	decrease	decrease	TRUE	3	3	1283	1176	0.010039	0.092664
ECH1	ECH1_HUMAN	Q13011	0.149757	0.146955	increase	increase	TRUE	3	4	333	535	0.743629	0.587645
ECI1	ECI1_HUMAN	P42126	-0.110378	-0.329827	decrease	decrease	TRUE	3	4	1130	830	0.128185	0.359846
ECI2	ECI2_HUMAN	O75521	0.447225	0.891436	increase	increase	TRUE	2	2	18	266	0.986873	0.795367
EDC4	EDC4_HUMAN	Q6P2E9	1.241782	0.066267	increase	increase	TRUE	3	4	459	41	0.646332	0.969112
EDEM2	EDEM2_HUMAN	Q9BV94	-0.264058	0.723112	decrease	increase	FALSE	3	3	34	996	0.974517	0.231660
EDF1	EDF1_HUMAN	O60869	-0.142630	0.220792	decrease	increase	FALSE	3	4	228	876	0.824710	0.324324
EEA1	EEA1_HUMAN	Q15075	-0.154400	0.020185	decrease	increase	FALSE	3	4	575	891	0.556757	0.312741
EFHD1	EFHD1_HUMAN	Q96C19;Q9BUP0	0.037022	-0.108410	increase	decrease	FALSE	3	4	864	662	0.333591	0.489575
EFHD2	EFHD2_HUMAN	Q96C19	0.119553	-0.185569	increase	decrease	FALSE	3	4	996	573	0.231660	0.558301
EFR3A	EFR3A_HUMAN	Q14156	0.646118	0.137970	increase	increase	TRUE	3	4	355	165	0.726641	0.873359
