gene	table_s1_protein	raw_protein_group	table_s1_log2fc_5uM_39h	raw_log2_delta	table_s1_direction	raw_direction	direction_agreement	raw_bde_detected	raw_vehicle_detected	raw_rank_by_delta_desc	table_s1_rank_by_delta_desc	raw_percentile_by_delta	table_s1_percentile_by_delta
VPS11	VPS11_HUMAN	Q9H270	0.788165	0.275652	increase	increase	TRUE	3	3	171	124	0.868726	0.905019
VPS16	VPS16_HUMAN	Q9H269	-0.513697	-0.075158	decrease	decrease	TRUE	3	4	799	1155	0.383784	0.108880
VPS18	VPS18_HUMAN	Q9P253	-3.838118	0.210591	decrease	increase	FALSE	3	4	238	1296	0.816988	0.000000
VPS29	VPS29_HUMAN	Q9UBQ0	-0.054533	-0.249395	decrease	decrease	TRUE	3	4	1057	767	0.184556	0.408494
VPS35	VPS35_HUMAN	Q96QK1	-0.557279	0.032156	decrease	increase	FALSE	3	4	542	1173	0.582239	0.094981
VPS36	VPS36_HUMAN	Q86VN1	0.491839	0.301198	increase	increase	TRUE	3	4	152	245	0.883398	0.811583
VPS45	VPS45_HUMAN	Q9NRW7	0.466182	-0.557481	increase	decrease	FALSE	3	4	1235	256	0.047104	0.803089
VPS4A	VPS4A_HUMAN	O75351;Q9UN37	-0.452678	0.141352	decrease	increase	FALSE	3	4	346	1130	0.733591	0.128185
VPS4B	VPS4B_HUMAN	O75351	0.451551	0.209240	increase	increase	TRUE	3	4	241	264	0.814672	0.796911
VPS50	VPS50_HUMAN	Q96JG6	-0.450415	-0.051308	decrease	decrease	TRUE	1	1	742	1128	0.427799	0.129730
VPS51	VPS51_HUMAN	Q9UID3	0.876257	-0.050914	increase	decrease	FALSE	3	4	737	101	0.431660	0.922780
VPS53	VPS53_HUMAN	Q5VIR6	0.645624	-0.036163	increase	decrease	FALSE	3	4	704	166	0.457143	0.872587
VTA1	VTA1_HUMAN	Q9NP79	0.704585	-0.070550	increase	decrease	FALSE	3	4	786	146	0.393822	0.888031
WASF2	WASF2_HUMAN	Q9Y6W5	-0.120713	0.136613	decrease	increase	FALSE	3	4	359	844	0.723552	0.349035
WASL	WASL_HUMAN	O00401	-0.311135	0.838217	decrease	increase	FALSE	3	4	25	1030	0.981467	0.205405
WDFY1	WDFY1_HUMAN	Q8IWB7	-0.570575	-0.273597	decrease	decrease	TRUE	2	4	1080	1179	0.166795	0.090347
WDR1	WDR1_HUMAN	O75083	-0.260785	-0.121598	decrease	decrease	TRUE	3	4	894	994	0.310425	0.233205
WDR11	WDR11_HUMAN	Q9BZH6	-0.080772	-0.030037	decrease	decrease	TRUE	3	4	686	799	0.471042	0.383784
WDR18	WDR18_HUMAN	Q9BV38	-0.393507	-0.054044	decrease	decrease	TRUE	3	4	748	1088	0.423166	0.160618
WDR26	WDR26_HUMAN	Q9H7D7	0.071734	0.048798	increase	increase	TRUE	2	1	503	628	0.612355	0.515830
WDR44	WDR44_HUMAN	Q5JSH3	-0.390599	0.147414	decrease	increase	FALSE	3	4	331	1085	0.745174	0.162934
WDR5	WDR5_HUMAN	P61964	0.075953	0.142691	increase	increase	TRUE	3	1	341	623	0.737452	0.519691
WDR82	WDR82_HUMAN	Q6UXN9	-1.253271	0.642028	decrease	increase	FALSE	2	4	40	1272	0.969884	0.018533
WFS1	WFS1_HUMAN	O76024	0.052934	-0.121063	increase	decrease	FALSE	3	4	893	644	0.311197	0.503475
WIPF1	WIPF1_HUMAN	O43516	-0.364898	-0.058372	decrease	decrease	TRUE	3	4	760	1062	0.413900	0.180695
WIPI1	WIPI1_HUMAN	Q5MNZ9	0.082674	0.169059	increase	increase	TRUE	3	4	290	614	0.776834	0.526641
XAGE2	XAGE2_HUMAN	Q96GT9	0.341133	0.951076	increase	increase	TRUE	1	3	12	361	0.991506	0.722008
XPO1	XPO1_HUMAN	O14980	0.115739	-0.004962	increase	decrease	FALSE	3	4	629	578	0.515058	0.554440
XPO4	XPO4_HUMAN	Q9C0E2	0.241527	-0.589188	increase	decrease	FALSE	1	1	1243	441	0.040927	0.660232
XPO5	XPO5_HUMAN	Q9HAV4	0.133475	-0.418180	increase	decrease	FALSE	3	4	1189	553	0.082625	0.573745
XPO7	XPO7_HUMAN	Q9UIA9	0.326954	0.037185	increase	increase	TRUE	3	4	531	371	0.590734	0.714286
XPOT	XPOT_HUMAN	O43592	0.119662	-0.318143	increase	decrease	FALSE	3	4	1121	572	0.135135	0.559073
XRCC5	XRCC5_HUMAN	P13010	-0.244052	-0.084815	decrease	decrease	TRUE	3	4	817	980	0.369884	0.244015
XRCC6	XRCC6_HUMAN	P12956	-0.394006	-0.153671	decrease	decrease	TRUE	3	4	939	1089	0.275676	0.159846
XRN2	XRN2_HUMAN	Q9H0D6	1.049163	0.149117	increase	increase	TRUE	3	4	327	63	0.748263	0.952124
YAP1	YAP1_HUMAN	P46937	0.331150	0.315418	increase	increase	TRUE	3	4	139	368	0.893436	0.716602
YIF1A	YIF1A_HUMAN	O95070	0.172037	-0.285578	increase	decrease	FALSE	3	4	1097	507	0.153668	0.609266
YIF1B	YIF1B_HUMAN	Q5BJH7	-0.178169	-0.471628	decrease	decrease	TRUE	3	4	1209	914	0.067181	0.294981
YIPF5	YIPF5_HUMAN	Q969M3	-0.674106	-0.416283	decrease	decrease	TRUE	3	4	1188	1207	0.083398	0.068726
YIPF6	YIPF6_HUMAN	Q96EC8	-0.591306	-0.743922	decrease	decrease	TRUE	3	4	1272	1185	0.018533	0.085714
YKT6	YKT6_HUMAN	O15498	0.343790	-0.077459	increase	decrease	FALSE	3	4	804	358	0.379923	0.724324
ZFPL1	ZFPL1_HUMAN	O95159	-0.368512	-0.478513	decrease	decrease	TRUE	3	4	1211	1067	0.065637	0.176834
ZFR	ZFR_HUMAN	Q96KR1	0.088483	0.407643	increase	increase	TRUE	3	4	92	607	0.929730	0.532046
ZW10	ZW10_HUMAN	O43264	0.163802	-0.118312	increase	decrease	FALSE	3	4	883	516	0.318919	0.602317
ZYX	ZYX_HUMAN	Q15942	-0.125101	-0.120225	decrease	decrease	TRUE	3	4	885	849	0.317375	0.345174
