gene	manuscript_use	table_s1_protein	table_s1_log2fc_5uM_39h	table_s1_direction	table_s1_bde_replicates	table_s1_vehicle_replicates	raw_pilot_log2_delta	raw_pilot_direction	raw_pilot_target_only_p	raw_pilot_bde_detected	raw_pilot_bde_total	raw_pilot_vehicle_detected	raw_pilot_vehicle_total	direction_agreement	effect_magnitude_ratio_raw_over_table_s1	caveat	qc_status
ILK	main_text_contrast	ILK_HUMAN	0.633637	increase	3	4	0.139289	increase	0.48571429	3	3	4	4	TRUE	0.219825	raw-pilot effect is direction-concordant but attenuated relative to Table S1.	direction_only_strongly_attenuated
NFKB1	main_text_contrast	NFKB1_HUMAN	0.396524	increase	3	4	0.137800	increase	0.37142857	3	3	4	4	TRUE	0.347519	raw-pilot effect is direction-concordant but attenuated relative to Table S1.	direction_only_attenuated
SNX17	main_text_contrast	SNX17_HUMAN	2.048821	increase	3	4	0.108717	increase	0.9	2	3	3	4	TRUE	0.053063	SNX17 raw-pilot effect is direction-concordant but much smaller than Table S1 and has replicate missingness.	direction_only_strongly_attenuated
MGLL	supplementary_support	MGLL_HUMAN	0.242264	increase	3	4	0.223915	increase	0.62857143	3	3	4	4	TRUE	0.924260	raw-pilot direction is concordant; target-only statistics remain non-significant.	direction_and_magnitude_partly_consistent
